email_id,sender,subject,body,timestamp,opened,replied,deleted
1,boss@company.com,Project Deadline,Please submit the project report by tonight,2025-03-01 09:00,1,1,0
2,hr@company.com,Policy Update,New HR policies have been updated,2025-03-01 09:30,1,0,0
3,teammate@company.com,Meeting Reminder,Daily standup meeting at 3 PM,2025-03-01 10:00,1,0,0
4,newsletter@shop.com,Big Sale,Flat 50 percent discount on electronics,2025-03-01 10:30,0,0,1
5,promo@ads.com,Buy Now,Limited time offer just for you,2025-03-01 11:00,0,0,1
6,bank@alerts.com,Account Alert,Suspicious login detected in your account,2025-03-01 11:30,1,0,0
7,college@univ.edu,Exam Schedule,Mid semester exam timetable released,2025-03-01 12:00,1,0,0
8,placement@univ.edu,Company Visit,Tech company recruitment drive tomorrow,2025-03-01 12:30,1,1,0
9,friend@gmail.com,Catch Up,Let’s meet this weekend,2025-03-01 13:00,1,0,0
10,newsletter@news.com,Daily News,Top headlines of the day,2025-03-01 13:30,0,0,1
11,boss@company.com,Client Update,Client meeting rescheduled to Friday,2025-03-01 14:00,1,0,0
12,promo@shopping.com,Flash Sale,Only today massive discounts,2025-03-01 14:30,0,0,1
13,teammate@company.com,Code Review,Please review my latest commit,2025-03-01 15:00,1,1,0
14,hr@company.com,Document Submission,Submit address proof documents,2025-03-01 15:30,1,0,0
15,bank@alerts.com,Transaction Alert,Your account was debited INR 5000,2025-03-01 16:00,1,0,0
16,promo@ads.com,Special Offer,Buy 1 get 1 free deal,2025-03-01 16:30,0,0,1
17,college@univ.edu,Assignment Deadline,Assignment submission deadline tomorrow,2025-03-01 17:00,1,0,0
18,placement@univ.edu,Interview Shortlist,You are shortlisted for interview round,2025-03-01 17:30,1,1,0
19,newsletter@health.com,Health Tips,10 tips for a healthy lifestyle,2025-03-01 18:00,0,0,1
20,friend@gmail.com,Photos,Sharing yesterday’s trip photos,2025-03-01 18:30,1,0,0
